ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
706 -1.68877 -0.65002 -1.19239
672 3.5896 3.37366 0.803363
718 3.50507 -1.88668 -1.96535
719 -1.46056 -2.00381 -2.18035
733 2.20501 0.748844 -5.05809
736 1.11136 -4.37788 0.643275
656 -0.738611 0.810087 0.410073
18 2.34368 -0.924062 2.18944
30 -1.16886 0.636455 -2.70027
31 0.504491 -3.01004 0.936057
45 0.954145 0.628556 1.47072
46 -4.53272 0.775407 0.302477
47 -1.57767 1.95111 -0.186333
48 -0.583838 -1.9491 -0.273854
95 -3.35915 0.463384 1.50826
109 -2.05036 -0.768246 -1.9443
111 -4.54937 -2.28066 -0.687693
98 -0.215608 2.67498 1.06715
94 -2.09116 2.47083 -1.84632
110 -4.30793 1.80962 0.91481
112 2.69099 0.465297 1.80178
159 -3.12254 3.38876 1.92385
173 -3.99125 2.41469 2.61138
175 -3.12103 1.85406 0.667317
158 -0.199216 2.33368 -2.3985
174 0.063425 -0.710484 -0.21058
176 0.551814 -0.139579 1.58994
223 0.784055 -1.20104 1.07509
237 1.73886 2.361 -0.178421
239 4.61797 -0.50598 0.105881
222 -3.59801 -0.609742 -0.80802
238 -1.57619 3.33002 1.42545
240 1.74046 -1.44262 1.45427
287 -2.58783 1.81721 -3.94175
301 -0.173356 1.22739 1.61682
303 -0.508068 0.686681 1.10083
274 -1.08533 -2.69812 -5.17498
286 1.61802 3.95177 2.84556
302 -2.44116 -0.625982 3.96092
304 1.55933 -1.71168 -1.2313
351 1.80151 0.721636 2.20834
365 0.714897 -2.98435 1.10714
367 -1.46477 -1.19396 1.52816
354 -1.68052 2.38773 -2.63519
350 1.11726 3.06547 -0.959367
366 -2.77521 2.69246 2.33978
368 1.84439 -2.42589 -0.819398
415 -5.11063 -0.656675 -2.73604
429 2.96333 -1.77918 -5.04366
431 2.62605 -0.360857 -0.527936
402 0.809709 -3.26678 0.83111
414 -1.9219 0.268973 -0.401596
430 -1.42783 -1.74282 3.21891
432 -0.492357 -3.43969 0.437671
481 -2.61099 2.24115 3.58377
479 3.0346 1.57479 6.17618
493 -0.0524525 0.0607656 3.21406
495 -3.46326 2.60526 2.1513
482 0.760007 0.667909 -1.06399
466 -0.904502 0.639627 -0.800064
478 2.88613 -0.286759 0.14218
494 2.6641 -1.46978 -1.66056
496 -2.34211 0.418268 -2.37934
543 -2.59555 2.12767 -1.92295
557 3.48721 0.923498 1.77291
559 0.667385 -0.82554 -2.44135
609 -2.18179 1.02794 1.06251
546 1.34737 3.88741 -0.430325
542 2.26868 0.525705 -1.29477
558 3.11455 -1.45067 1.88629
560 -0.0661126 0.348066 3.1043
607 -1.52669 0.434761 -0.793056
621 0.127094 0.642896 -0.881468
623 -1.4482 0.145955 -0.57179
610 1.97887 -0.399172 0.640031
594 -1.13594 2.56917 2.5289
606 -0.219271 -1.57707 -1.04169
622 1.00092 -4.08709 -0.330281
624 3.50167 -0.376093 -3.69374
671 2.26708 -0.0387329 -0.370042
685 1.05105 1.35079 0.227624
687 -4.01356 1.69249 2.43814
670 0.542625 -1.84382 -3.51739
686 2.02109 -4.20288 1.2732
658 2.02468 -1.05042 1.48625
688 1.5756 -1.32579 1.37853
737 -0.183681 -2.10495 2.46248
734 2.20155 -4.06576 1.78539
735 7.0768 1.62257 2.97846
749 -0.467332 2.61176 0.564084
750 -0.952251 -2.27203 3.49937
751 -2.09206 7.33946 1.47972
752 2.43651 -3.42667 1.82986
50 1.19784 1.44533 1.15292
49 -1.5415 2.21279 -0.159522
77 -1.48876 -0.34163 0.955161
13 -1.09538 2.80044 0.957741
65 -1.47591 3.07518 -0.700677
61 -2.47344 0.074295 0.602466
62 -1.04161 -3.29787 -2.21307
63 3.45309 -1.20054 1.22465
64 1.06044 -1.49888 3.76569
127 -1.1789 4.32721 2.14961
125 -0.786911 -1.31806 -0.526256
177 -0.165414 -0.112676 -0.0483294
126 -2.12589 -1.34492 0.556539
128 -1.73117 -2.12006 -2.50929
189 0.920872 0.780721 -1.75539
191 -3.13604 2.38186 -5.2524
144 1.45785 2.34454 -0.170827
205 0.179354 -1.85552 -1.4907
190 -1.57457 -1.22093 -0.42328
192 -2.23603 1.50947 -1.73934
253 -1.18612 2.87101 -1.99619
255 3.5597 0.899367 2.79494
269 -0.255479 -0.0917237 -4.175
208 -0.859234 1.89205 -3.94266
